Year,War,Allies,Enemies,Outcome
(1807-1814),Gunboat War,Denmark-Norway,United Kingdom,Defeat
(1808-1809),Finnish War,Russian Empire Denmark-Norway France Spain,Sweden United Kingdom Portugal,Victory Treaty of Fredrikshamn
(1808-1809),Dano-Swedish War (1808-09),Denmark-Norway France,Sweden United Kingdom,Stalemate Return to Status quo ante bellum
(1813-1814),,,,
(1848-1850),First Schleswig War,Denmark,Kingdom of Prussia Duchy of Holstein German Empire,Victory London Protocol
(1864),Second War of Schleswig,Denmark,German Confederation:  Austrian Empire  Kingdom of Prussia,Defeat Treaty of Vienna (1864)
(1918-1920),,,,
(1939-1940),Winter War[5]World War II,Finland,Soviet Union,
(1939-1940),Phoney WarWorld War II,France Norway United Kingdom,Nazi Germany Kingdom of Italy,
(1940-1945),,,,
(1950-1953),Korean War,South Korea United States,North Korea China,Ceasefire
(1990-1991),,,,
(1992-1995),Bosnian War(Operation BÃ¸llebank),Croatia Bosnia and Herzegovina NATO,FR Yugoslavia,"Victory, Dayton Accords"
(1998-1999),Kosovo War,Albania Kosovo NATO,FR Yugoslavia,"Victory, Kumanovo Treaty"
(2002-2014),,,,
(2002-2019),,,,
(2003-2011),,,,
(2009-2016),,,,
(2011),,,,
(2014-2019),,,,
